"sigla","pais","grupo_idh","regiao","ranking_idh","idh","idh_ev","idh_ee","idh_me","idh_rpc","gdi","gdi_idh_f","gdi_ev_f","gdi_ee_f","gdi_me_f","gdi_rpc_f","gdi_idh_m","gdi_ev_m","gdi_ee_m","gdi_me_m","gdi_rpc_m","extra_ap_f","extra_ap_m","extra_ft_f","extra_ft_m","extra_co2","extra_pop"
"AFG","Afeganistão","Baixo","Ásia do Sul",182,0.462,62.879,10.70538475,2.514790058,1335.205733,0.622,0.332443297,66.213,8.053256911,1.174129963,395.9154586,0.534144723,59.766,13.22844948,3.912739992,2256.217507,27.21518987,72.78481013,23.33,77.09,0.306318324,41.128771
"ALB","Albânia","Alto","Europa e Ásia Central",74,0.789,76.833,14.48746967,10.12114431,15293.32651,0.977,0.780277105,79.472,14.68103981,9.811468219,13198.53956,0.798432468,74.502,14.29220009,10.43385538,17398.00369,35.71428571,64.28571429,56.08,69.91,1.717757671,2.842321
"DZA","Argélia","Alto","Países Árabes",93,0.745,77.129,15.48787975,6.987443608,10978.40571,0.881,0.681844236,78.457,16.26417923,6.490567748,3841.656612,0.773800103,75.853,14.74388027,7.481537359,17858.79078,7.00525394,92.99474606,17.57,65.53,4.079540189,44.903225
"AND","Andorra","Muito Alto",NA,35,0.884,83.552,12.7837801,11.61343956,54233.44948,NA,NA,85.838,12.76506042,11.52258968,NA,NA,81.43,12.81062984,11.70438004,NA,46.42857143,53.57142857,NA,NA,4.593592631,0.079824
"AGO","Angola","Mediano","África Sub-sahariana",150,0.591,61.929,12.1676,5.844291601,5327.788251,0.905,0.560890287,64.541,11.5354,4.462809114,4696.356687,0.619679764,59.351,12.9099,7.1879602,5973.845631,33.63636364,66.36363636,74.73,78.16,0.507358992,35.588987
"ATG","Antígua e Barbuda","Muito Alto","América Latina e Caribe",54,0.826,79.236,15.51232774,10.54622968,18783.96536,NA,NA,81.645,16.74628979,10.3442228,NA,NA,76.507,14.35053709,10.59597506,NA,31.42857143,68.57142857,NA,NA,6.401055579,0.093763
"ARG","Argentina","Muito Alto","América Latina e Caribe",48,0.849,76.064,18.97950935,11.14408016,22047.97131,0.995,0.841405452,79.277,20.91489983,11.39165974,16933.06291,0.845472815,72.851,17.13032913,10.85797977,27264.83091,44.3768997,55.6231003,52.08,71.74,4.190779468,45.510318
"ARM","Armênia","Alto","Europa e Ásia Central",76,0.786,73.372,14.40561008,11.33030033,15388.29976,1.026,0.795110468,78.447,14.81291008,11.32151985,13442.50133,0.774941834,67.866,14.02233982,11.34119034,17770.4153,35.51401869,64.48598131,62.8,71.84,2.531087713,2.780469
"AUS","Austrália","Muito Alto",NA,10,0.946,83.579,21.0800209,12.72681999,49257.1352,0.978,0.934601518,85.453,21.98143005,12.81058979,41131.47085,0.955940587,81.708,20.19375992,12.63971043,57495.77158,44.49339207,55.50660793,62.31,71.13,14.91476303,26.1774135
"AUT","Áustria","Muito Alto",NA,22,0.926,82.412,16.36746025,12.30571367,56529.66329,0.972,0.911591936,84.6,16.83849907,12.04894857,41899.21124,0.937756448,80.15,15.92267036,12.57887231,71616.2043,40.98360656,59.01639344,56.55,66.69,7.399461247,8.939617
